"PlayerName","Team","POS","ADP","IP","mW","mSV","mERA","mWHIP","mSO","PTS","aPOS","Dollars"
"Clayton Kershaw","Dodgers","SP","4.8","190","$35.1","($13.5)","$93.0","$98.7","$39.0","$252.3","$63.3","$316.6"
"Max Scherzer","Nationals","SP","13.6","214","$39.7","($13.5)","$29.7","$64.2","$51.9","$172.0","$63.3","$236.3"
"Madison Bumgarner","Giants","SP","15.1","217","$35.1","($13.5)","$41.4","$47.8","$40.2","$150.9","$63.3","$215.2"
"Noah Syndergaard","Mets","SP","18.6","196","$30.5","($13.5)","$45.4","$29.1","$38.6","$130.1","$63.3","$194.4"
"Corey Kluber","Indians","SP","25.3","216","$35.1","($13.5)","$10.1","$37.7","$40.2","$109.6","$63.3","$173.9"
"Jon Lester","Cubs","SP","36.0","203","$35.1","($13.5)","$25.3","$29.5","$26.9","$103.3","$63.3","$167.6"
"Chris Sale","Red Sox","SP","20.7","221","$39.7","($13.5)","($1.6)","$35.5","$41.7","$101.9","$63.3","$166.2"
"Jake Arrieta","Cubs","SP","29.6","203","$39.7","($13.5)","$21.6","$25.6","$25.7","$99.1","$63.3","$163.4"
"Johnny Cueto","Giants","SP","41.0","214","$30.5","($13.5)","$29.7","$25.4","$23.3","$95.5","$63.3","$159.8"
"Kenley Jansen","Dodgers","RP","54.0","68","($24.7)","$56.8","$28.9","$42.2","($11.9)","$91.3","$52.5","$144.8"
"Zach Britton","Orioles","RP","64.0","67","($24.7)","$56.8","$42.4","$26.4","($20.5)","$80.4","$52.5","$133.9"
"Aroldis Chapman","Yankees","RP","52.9","64","($20.1)","$48.7","$38.2","$21.5","($9.9)","$78.3","$52.5","$131.8"
"Carlos Carrasco","Indians","SP","59.5","187","$25.9","($13.5)","$2.7","$20.2","$27.7","$63.0","$63.3","$127.3"
"Stephen Strasburg","Nationals","SP","56.5","166","$21.3","($13.5)","$6.7","$17.1","$25.7","$57.2","$63.3","$121.5"
"Andrew Miller","Indians","RP","121.1","74","($15.5)","$2.8","$41.1","$46.2","($7.6)","$67.0","$52.5","$120.5"
"Seung Hwan Oh","Cardinals","RP","78.8","73","($20.1)","$47.0","$28.5","$26.5","($16.2)","$65.6","$52.5","$119.1"
"Chris Archer","Rays","SP","53.0","206","$21.3","($13.5)","$3.4","$1.5","$41.4","$54.0","$63.3","$118.3"
"Kyle Hendricks","Cubs","SP","69.8","189","$25.9","($13.5)","$1.8","$22.9","$14.7","$51.8","$63.3","$116.1"
"Justin Verlander","Tigers","SP","45.1","206","$25.9","($13.5)","($0.3)","$7.3","$30.0","$49.3","$63.3","$113.6"
"Yu Darvish","Rangers","SP","36.8","185","$21.3","($13.5)","$3.6","$2.1","$35.5","$49.0","$63.3","$113.3"
"Masahiro Tanaka","Yankees","SP","84.3","189","$21.3","($13.5)","($2.0)","$24.8","$15.1","$45.7","$63.3","$110.0"
"David Price","Red Sox","SP","116.2","221","$35.1","($13.5)","($16.5)","$2.6","$35.9","$43.5","$63.3","$107.8"
"Mark Melancon","Giants","RP","82.5","70","($20.1)","$51.9","$28.0","$19.7","($25.2)","$54.2","$52.5","$107.7"
"Danny Duffy","Royals","SP","99.8","194","$25.9","($13.5)","$1.4","$3.2","$26.1","$43.1","$63.3","$107.4"
"Roberto Osuna","Blue Jays","RP","95.4","74","($24.7)","$48.7","$14.9","$28.7","($18.5)","$49.0","$52.5","$102.5"
"Wade Davis","Cubs","RP","92.3","65","($20.1)","$45.4","$28.4","$14.1","($20.1)","$47.6","$52.5","$101.1"
"Jacob deGrom","Mets","SP","65.1","177","$16.7","($13.5)","$11.0","$3.3","$17.5","$35.0","$63.3","$99.3"
"Rich Hill","Dodgers","SP","127.2","133","$12.1","($13.5)","$23.6","$6.0","$6.5","$34.6","$63.3","$98.9"
"Kenta Maeda","Dodgers","SP","108.0","176","$30.5","($13.5)","($9.1)","$4.9","$17.9","$30.7","$63.3","$95.0"
"Carlos Martinez","Cardinals","SP","63.1","200","$30.5","($13.5)","$13.6","($25.7)","$23.3","$28.2","$63.3","$92.5"
"Ken Giles","Astros","RP","109.4","68","($20.1)","$47.0","$17.7","$1.6","($12.3)","$33.8","$52.5","$87.3"
"Dellin Betances","Yankees","RP","201.3","77","($15.5)","$1.2","$30.4","$18.1","($4.8)","$29.4","$52.5","$82.9"
"Craig Kimbrel","Red Sox","RP","84.3","61","($24.7)","$47.0","$11.5","$10.8","($16.6)","$28.0","$52.5","$81.5"
"Gerrit Cole","Pirates","SP","108.8","186","$25.9","($13.5)","$5.0","($16.9)","$15.9","$16.4","$63.3","$80.7"
"Edwin Diaz","Mariners","RP","90.5","64","($24.7)","$47.0","$15.7","$6.0","($17.4)","$26.7","$52.5","$80.2"
"Rick Porcello","Red Sox","SP","100.8","207","$35.1","($13.5)","($25.1)","$3.7","$15.5","$15.7","$63.3","$80.0"
"Kelvin Herrera","Royals","RP","118.6","70","($24.7)","$35.6","$20.5","$13.8","($20.9)","$24.3","$52.5","$77.8"
"Raisel Iglesias","Reds","SP/RP","198.6","84","($20.1)","$29.0","$10.4","$5.0","($15.0)","$9.2","$63.3","$73.5"
"Kevin Gausman","Orioles","SP","139.7","195","$21.3","($13.5)","($8.4)","($15.8)","$25.3","$8.9","$63.3","$73.2"
"Zack Greinke","Diamondbacks","SP","98.7","196","$21.3","($13.5)","($14.5)","($5.8)","$16.7","$4.2","$63.3","$68.5"
"Cody Allen","Indians","RP","124.9","67","($24.7)","$38.8","$12.5","$3.2","($17.4)","$12.4","$52.5","$65.9"
"Steven Matz","Mets","SP","165.6","163","$16.7","($13.5)","($1.3)","($11.1)","$10.4","$1.2","$63.3","$65.5"
"Jose Quintana","White Sox","SP","100.9","209","$21.3","($13.5)","($7.3)","($18.8)","$19.4","$1.0","$63.3","$65.3"
"Alex Colome","Rays","RP","120.3","59","($24.7)","$42.1","$12.4","$4.3","($24.8)","$9.3","$52.5","$62.8"
"Jeurys Familia","Mets","RP","128.7","61","($24.7)","$45.4","$15.2","($2.7)","($24.4)","$8.7","$52.5","$62.2"
"Tony Watson","Pirates","RP","142.8","68","($24.7)","$40.5","$10.2","$7.4","($26.4)","$6.9","$52.5","$60.4"
"Julio Teheran","Braves","SP","98.9","199","$12.1","($13.5)","($17.7)","($4.8)","$19.0","($4.9)","$63.3","$59.4"
"Nate Jones","White Sox","RP","275.4","68","($20.1)","$1.2","$17.7","$24.8","($19.7)","$3.8","$52.5","$57.3"
"John Lackey","Cubs","SP","162.0","180","$16.7","($13.5)","($14.7)","($7.3)","$11.6","($7.2)","$63.3","$57.1"
"Aaron Sanchez","Blue Jays","SP","81.0","197","$25.9","($13.5)","($5.6)","($28.7)","$14.3","($7.6)","$63.3","$56.7"
"Danny Salazar","Indians","SP","122.0","170","$16.7","($13.5)","($17.6)","($16.5)","$22.6","($8.3)","$63.3","$56.0"
